"","V1","V2","V3"
"1",2,3.87,1
"2",2,1.61,2
"3",2,0.69,2
"4",2,0,2
"5",2,2.71,2
"6",2,2.4,1
"7",2,1.39,2
"8",1,0,2
"9",1,1.95,3
"10",2,3.14,2
"11",2,3.85,2
"12",2,1.39,1
"13",2,0.69,2
"14",2,0.69,2
"15",2,2.4,2
"16",2,0,1
"17",1,1.39,2
"18",1,1.39,2
"19",1,1.95,2
"20",2,1.79,1
"21",2,2.4,1
"22",1,1.39,2
"23",1,2.4,1
"24",2,1.61,2
"25",2,1.95,2
"26",2,2.08,3
"27",2,1.1,1
"28",1,1.61,2
"29",1,2.4,1
"30",1,2.3,3
"31",1,1.1,1
"32",2,2.4,2
"33",1,0.69,3
"34",2,2.48,1
"35",2,2.64,2
"36",2,0,2
"37",1,2.48,2
"38",2,0.69,2
"39",1,2.94,1
"40",2,0,2
"41",2,2.4,2
"42",1,1.39,2
"43",2,3.56,2
"44",1,1.95,2
"45",1,0.69,2
"46",2,3.26,2
"47",2,2.56,2
"48",1,2.3,2
