"","V1","V2","V3"
"1",1,0.69,2
"2",1,3.26,2
"3",2,2.56,2
"4",2,1.61,3
"5",1,0,2
"6",1,2.3,2
"7",2,2.3,1
"8",2,2.64,2
"9",1,1.61,1
"10",2,1.39,2
"11",1,0,2
"12",2,1.39,3
"13",1,2.71,3
"14",2,0,3
"15",2,2.2,2
"16",1,1.95,2
"17",2,0,2
"18",2,1.61,2
"19",2,3.14,2
"20",2,1.79,2
"21",2,2.08,2
"22",1,0,2
"23",1,0,3
"24",2,3.04,3
"25",2,2.89,1
"26",1,1.61,2
"27",1,0.69,2
"28",1,0.69,2
"29",2,2.94,3
"30",2,3.04,2
"31",1,2.08,2
"32",1,1.39,2
"33",2,1.39,2
"34",2,1.1,2
"35",2,0,2
"36",1,1.1,2
"37",2,0.69,2
"38",1,0,2
"39",1,0.69,2
"40",2,2.48,2
"41",1,0,2
"42",1,0,2
"43",2,3.85,2
"44",2,0.69,3
"45",2,1.95,2
"46",2,0,2
"47",2,2.94,1
"48",2,2.2,1
"49",1,2.56,1
"50",2,2.4,1
"51",1,1.61,1
"52",1,0,2
"53",2,2.56,3
"54",1,0,3
"55",2,1.61,3
"56",2,2.56,2
"57",1,1.1,2
"58",2,2.2,2
"59",1,2.08,2
"60",1,1.95,1
"61",2,1.79,3
"62",1,0,3
"63",1,1.61,1
"64",1,1.79,2
"65",1,1.39,3
"66",2,3.4,2
"67",2,0.69,2
"68",2,2.2,2
"69",1,0,2
"70",2,3.58,2
"71",2,2.64,2
"72",1,1.95,3
"73",2,2.3,2
"74",1,2.4,2
"75",1,0,1
"76",1,1.61,2
"77",1,0.69,2
"78",2,3.89,2
"79",1,1.1,2
"80",1,1.79,2
"81",2,1.1,2
"82",2,2.77,1
"83",2,1.95,1
"84",1,0.69,1
"85",1,1.39,2
"86",1,2.2,2
"87",2,2.94,2
"88",2,1.1,3
"89",2,1.79,2
"90",2,3.81,1
