"","V1","V2","V3"
"1",2,2.08,2
"2",2,1.79,2
"3",2,2.2,2
"4",2,2.48,2
"5",2,1.39,3
"6",1,2.08,1
"7",2,1.1,1
"8",2,2.64,2
"9",2,2.56,2
"10",1,1.39,2
"11",1,1.39,3
"12",1,1.79,1
"13",2,1.1,2
"14",2,1.95,3
"15",2,1.95,2
"16",1,1.1,1
"17",2,2.2,3
"18",2,2.64,2
"19",2,0.69,3
"20",1,0.69,1
"21",2,2.89,3
"22",1,1.79,2
"23",1,0,2
"24",2,1.1,2
"25",2,1.39,2
"26",1,1.1,1
"27",1,0.69,1
"28",2,2.08,2
"29",1,0,2
"30",2,2.89,1
"31",2,2.94,1
"32",2,2.64,2
"33",2,2.83,1
"34",1,2.48,2
"35",2,1.95,2
"36",2,2.08,2
