"","V1","V2","V3"
"1",1,1.79,3
"2",2,0,1
"3",2,1.61,2
"4",1,1.39,2
"5",1,1.39,2
"6",2,3.81,2
"7",2,2.64,2
"8",2,2.3,1
"9",1,0,1
"10",1,0.69,2
"11",2,2.71,2
"12",1,1.1,2
"13",1,1.61,2
"14",1,1.79,1
"15",2,0.69,2
"16",1,0,2
"17",2,2.3,1
"18",1,1.39,2
"19",1,1.1,2
"20",1,2.64,1
"21",2,1.1,2
"22",2,2.89,2
"23",2,1.61,3
"24",1,0,2
"25",2,1.95,2
"26",1,0.69,2
"27",1,1.1,2
"28",1,1.1,2
"29",1,1.1,2
"30",2,2.77,2
"31",1,0.69,3
"32",2,2.3,2
"33",2,2.48,2
"34",2,2.56,1
"35",1,2.2,1
"36",2,1.95,2
"37",1,2.3,3
