"","V1","V2","V3"
"1",2,3.66,2
"2",2,2.64,3
"3",2,2.2,2
"4",2,3.58,2
"5",2,2.77,2
"6",2,1.1,2
"7",1,1.95,2
"8",2,3.14,1
"9",1,1.39,2
"10",1,0,3
"11",1,2.08,1
"12",2,1.39,2
"13",2,2.56,1
"14",2,1.1,2
"15",2,1.79,2
"16",2,2.48,2
"17",2,0.69,2
"18",1,0,1
"19",1,0,2
"20",2,1.39,2
"21",1,1.79,3
"22",1,1.1,2
"23",1,2.3,2
"24",2,2.08,2
"25",2,2.3,1
"26",1,0.69,2
"27",2,1.1,1
"28",1,0.69,2
"29",2,2.71,2
"30",2,2.83,1
"31",1,1.1,3
"32",1,2.4,2
"33",2,0,2
"34",1,0.69,2
"35",2,1.79,2
"36",2,1.39,3
"37",1,2.4,2
"38",1,1.1,2
"39",2,2.89,1
"40",2,3.56,2
"41",1,1.95,2
"42",1,2.83,2
"43",1,0,2
"44",2,3,2
"45",1,1.79,2
"46",1,3.04,2
"47",1,1.1,2
"48",1,0,2
"49",2,1.1,2
"50",2,3.22,2
"51",1,0,2
"52",2,1.1,2
