"","V1","V2","V3"
"1",2,1.1,2
"2",2,3.09,2
"3",1,2.2,2
"4",2,1.61,2
"5",1,1.1,2
"6",1,1.39,2
"7",2,0,2
"8",1,1.61,2
"9",2,0,2
"10",1,3.18,2
"11",1,1.79,2
"12",1,0.69,3
"13",2,3.78,2
"14",1,1.61,1
"15",2,1.39,2
"16",1,1.79,1
"17",1,1.39,2
"18",2,1.61,2
"19",1,1.39,1
"20",2,0,3
"21",2,2.4,1
"22",2,3.4,2
"23",2,2.3,1
"24",2,1.79,3
"25",1,3.09,1
"26",2,3.18,2
"27",1,1.95,2
"28",1,2.48,2
"29",2,2.64,2
"30",2,0,2
"31",1,0,3
"32",2,2.94,2
"33",1,3.53,2
"34",2,0,2
"35",1,0.69,2
"36",1,3.53,2
"37",2,3.04,2
"38",1,1.1,2
