"","V1","V2","V3"
"1",2,2.64,2
"2",2,1.61,2
"3",1,0.69,2
"4",2,3.3,2
"5",2,0,2
"6",1,2.64,1
"7",2,2.83,2
"8",2,1.1,2
"9",1,2.08,2
"10",2,3.18,2
"11",1,2.64,2
"12",1,0,2
"13",2,1.61,2
"14",1,1.39,3
"15",2,1.79,3
"16",2,2.56,2
"17",2,1.1,3
"18",2,0,2
"19",2,3.33,2
"20",1,2.77,2
"21",1,2.48,2
"22",1,1.95,3
"23",2,2.89,2
"24",2,3.69,2
"25",2,0.69,1
"26",1,2.89,1
"27",2,0.69,2
"28",2,3.14,1
"29",1,2.4,3
"30",1,1.61,1
"31",1,2.64,2
"32",2,2.3,2
"33",1,1.61,2
"34",1,0.69,2
"35",2,2.48,2
"36",1,2.48,2
"37",1,3,1
"38",1,1.95,2
"39",1,0,3
"40",1,2.48,2
"41",2,0.69,2
"42",1,0,2
"43",2,1.79,3
"44",1,1.39,2
"45",1,2.2,2
"46",1,1.79,2
"47",1,1.39,2
"48",2,2.56,2
"49",1,1.1,2
"50",2,3.5,2
"51",2,1.61,3
"52",2,2.48,2
"53",2,1.79,1
