"","V1","V2","V3"
"1",1,0,2
"2",1,2.48,2
"3",2,3.09,2
"4",1,0.69,1
"5",1,1.61,2
"6",2,2.89,2
"7",2,0,2
"8",2,3.47,2
"9",1,1.1,2
"10",1,1.39,2
"11",2,2.83,2
"12",2,3.18,1
"13",1,2.3,1
"14",1,1.61,2
"15",2,0.69,2
"16",2,1.95,2
"17",2,0,2
"18",2,1.95,2
"19",2,2.2,3
"20",1,2.3,2
"21",2,3.61,1
"22",1,2.08,2
"23",1,0,2
"24",2,2.77,2
"25",2,2.77,2
"26",1,2.08,2
"27",1,1.95,2
"28",1,2.4,3
"29",2,3,1
"30",1,2.4,2
"31",1,0.69,3
"32",1,1.39,2
"33",1,0.69,1
"34",1,2.89,2
"35",2,2.08,1
"36",2,2.3,2
"37",1,2.83,2
"38",1,1.79,3
"39",2,1.1,2
"40",2,2.71,2
"41",1,0.69,2
"42",2,2.64,2
"43",2,3.04,2
"44",2,2.71,2
"45",2,2.89,2
"46",1,0,3
"47",1,1.79,1
"48",1,1.39,2
"49",2,3.09,2
"50",2,1.1,2
"51",2,2.71,2
"52",2,1.95,2
"53",1,1.95,2
"54",1,2.08,2
"55",1,2.3,2
"56",2,0.69,3
"57",1,1.1,2
"58",2,2.89,2
"59",2,2.71,1
"60",1,1.61,2
"61",1,1.61,2
"62",1,3.33,2
"63",2,2.08,2
"64",1,1.39,2
"65",2,3.04,1
"66",2,2.3,2
"67",2,2.89,1
"68",2,0,1
"69",1,1.95,2
"70",2,2.48,2
"71",2,0,2
"72",2,1.39,2
"73",1,0,2
"74",1,0,1
"75",1,1.61,2
"76",1,2.2,3
"77",1,1.39,1
"78",1,1.95,2
"79",1,1.79,2
"80",1,1.79,2
"81",2,1.79,2
"82",1,0.69,2
