"","V1","V2","V3"
"1",1,0.69,1
"2",1,0,2
"3",2,0,2
"4",2,2.4,1
"5",1,0.69,2
"6",1,2.3,2
"7",2,3.04,2
"8",1,2.48,2
"9",1,1.61,2
"10",1,1.95,3
"11",2,2.64,2
"12",2,1.79,2
"13",1,0,2
"14",2,1.1,2
"15",2,2.56,2
"16",2,1.61,2
"17",1,2.48,2
"18",1,0,3
"19",1,0,2
"20",1,1.61,1
"21",2,2.3,2
"22",1,2.08,2
"23",2,3.04,1
"24",2,0.69,2
"25",1,1.95,2
"26",1,0,2
"27",2,2.3,1
"28",1,1.39,2
"29",2,0.69,2
"30",1,1.95,3
"31",1,2.3,2
"32",1,1.79,3
"33",1,0,2
"34",1,2.08,1
"35",1,1.61,2
"36",2,1.79,2
"37",1,1.39,3
"38",1,1.1,2
"39",1,1.1,3
"40",1,1.61,2
"41",1,1.79,3
"42",2,1.61,2
"43",2,1.1,2
"44",1,1.1,2
"45",1,1.61,1
"46",1,2.08,1
"47",1,1.1,1
"48",2,2.2,2
"49",1,1.39,2
"50",1,0.69,2
"51",2,2.08,1
"52",2,2.56,1
"53",1,0.69,2
"54",2,1.1,2
