"","V1","V2","V3"
"1",1,0,2
"2",2,0,2
"3",2,3.18,2
"4",1,3.14,2
"5",1,1.95,1
"6",1,2.83,3
"7",1,1.39,1
"8",1,0.69,2
"9",1,0,3
"10",2,2.08,2
"11",1,0,1
"12",2,2.48,1
"13",2,2.89,2
"14",1,2.89,2
"15",1,2.56,2
"16",1,0,2
"17",2,2.48,2
"18",2,4.06,1
"19",1,2.08,2
"20",2,3.22,2
"21",2,2.2,2
"22",1,1.39,2
"23",2,2.83,2
"24",2,0,2
"25",1,1.39,2
"26",1,1.61,2
"27",1,3.22,2
"28",1,0.69,2
"29",2,2.4,2
"30",2,1.95,1
"31",2,0,2
"32",1,2.48,1
"33",2,1.39,2
"34",2,1.79,2
"35",2,1.1,2
"36",2,2.3,1
"37",2,3,2
"38",2,3.14,2
"39",2,1.1,2
"40",2,1.79,2
"41",2,2.48,2
"42",2,3.09,2
"43",1,0,2
