"","V1","V2","V3"
"1",1,1.39,2
"2",2,1.61,2
"3",2,0.69,2
"4",1,1.95,2
"5",1,0,2
"6",2,1.61,2
"7",1,2.2,1
"8",2,2.3,1
"9",2,3.04,2
"10",1,1.79,2
"11",1,0.69,2
"12",2,2.3,2
"13",1,1.95,2
"14",1,1.95,3
"15",1,0.69,2
"16",1,0.69,2
"17",1,0,3
"18",1,1.79,2
"19",1,1.1,2
"20",2,1.95,3
"21",2,1.95,1
"22",1,0,2
"23",2,0,2
"24",2,2.4,2
"25",1,1.1,2
"26",1,1.79,2
"27",1,1.95,2
"28",2,2.64,2
"29",1,1.61,2
"30",2,1.1,1
"31",1,0,2
"32",1,1.39,2
"33",1,1.95,2
"34",1,1.39,2
"35",2,0,2
"36",1,2.08,2
"37",2,1.95,2
"38",2,1.61,2
"39",1,1.1,2
"40",1,0,2
"41",2,3.91,2
"42",1,1.39,2
"43",1,2.48,2
"44",1,1.95,1
"45",1,1.61,2
"46",2,3.04,1
"47",2,2.3,2
