"",country
N1,1
N2,1
N3,2
N4,1
N5,3
N6,1
N7,3
N8,7
N9,1
N10,4
N11,3
N12,4
N13,5
N14,6
N15,4
N16,7
N17,4
N18,5
N19,3
N20,4
N21,7
N22,7
N23,8
N24,3
N25,7
N26,7
N27,4
N28,4
N29,7
N30,4
N31,4
N32,4
N33,7
N34,3
N35,4
N36,7
N37,4
N38,7
N39,9
N40,7
N41,3
N42,3
N43,3
N44,3
N45,3
N46,3
N47,3
N48,7
N49,3
N50,7
N51,4
N52,4
N53,7
N54,7
N55,4
N56,7
N57,4
N58,4
N59,7
N60,7
N61,7
N62,4
N63,4
N64,4
N65,3
N66,4
N67,7
