"","V1","V2","V3"
"1",1,2.3,2
"2",2,3.4,1
"3",2,2.2,2
"4",2,3.43,1
"5",1,1.39,2
"6",2,1.39,3
"7",2,3.26,1
"8",2,2.94,2
"9",1,1.61,2
"10",2,3,1
"11",2,2.94,1
"12",1,2.08,2
"13",2,3.53,2
"14",2,2.71,1
"15",1,1.79,2
"16",1,2.89,1
"17",1,0.69,2
"18",1,2.56,2
"19",2,3.22,1
"20",2,2.77,2
"21",1,1.95,2
"22",1,0.69,2
"23",2,0,1
"24",1,1.39,2
"25",1,1.79,2
"26",1,0.69,2
"27",2,3.53,2
"28",1,1.79,2
"29",1,1.79,3
"30",1,1.1,2
"31",1,1.39,2
"32",1,1.95,3
"33",2,2.71,2
"34",1,1.79,2
"35",1,0,2
"36",2,3.4,2
"37",1,1.61,2
"38",1,1.79,2
"39",1,2.08,3
"40",2,2.71,2
"41",2,3.71,1
"42",1,0.69,2
"43",2,3.71,1
"44",1,1.95,2
"45",2,2.3,3
