"","V1","V2","V3"
"1",2,2.08,1
"2",2,0.69,1
"3",2,2.08,2
"4",2,1.39,2
"5",2,2.2,2
"6",2,2.56,2
"7",1,2.77,1
"8",1,1.39,2
"9",1,2.3,2
"10",2,1.39,2
"11",2,2.94,1
"12",1,2.4,1
"13",2,3.4,2
"14",1,0.69,2
"15",1,1.61,3
"16",2,1.39,1
"17",1,3.04,2
"18",1,1.39,2
"19",1,0,2
"20",2,1.39,1
"21",1,1.39,2
"22",2,2.3,2
"23",1,1.79,1
"24",2,2.08,2
"25",2,1.79,2
"26",2,2.77,2
"27",2,2.08,2
"28",2,1.39,2
"29",1,2.2,3
"30",1,3,2
"31",2,3.26,2
"32",2,2.2,1
"33",2,2.56,2
"34",1,2.3,2
"35",1,2.94,1
"36",2,1.39,1
"37",1,0,2
"38",2,2.2,1
"39",2,2.89,1
"40",1,2.56,3
"41",1,2.08,1
"42",2,3.81,1
"43",1,1.39,2
"44",1,1.95,2
"45",2,3.61,2
"46",1,3,3
"47",1,1.39,3
"48",1,2.08,2
"49",1,2.2,2
"50",2,3.09,2
"51",2,2.2,2
"52",2,1.1,2
"53",2,3.18,2
"54",1,1.79,2
"55",2,0.69,2
"56",1,0.69,2
"57",1,1.95,2
"58",2,2.4,2
"59",2,1.95,1
"60",1,2.08,1
"61",1,3.33,2
"62",1,2.48,2
"63",1,1.79,2
"64",2,3.37,1
"65",2,3.53,2
"66",2,2.08,3
"67",1,1.61,2
"68",2,1.39,3
"69",2,1.1,1
"70",2,3.22,1
"71",1,1.79,2
"72",2,1.95,1
"73",1,3.69,2
"74",1,3.04,2
"75",2,3.14,2
"76",1,2.89,2
"77",1,2.56,1
"78",1,2.2,1
"79",1,1.61,1
"80",2,2.83,2
"81",1,1.39,2
"82",2,2.94,2
"83",2,3.14,2
"84",2,2.94,2
"85",1,1.39,2
"86",2,1.61,2
"87",2,1.95,1
"88",1,0.69,2
"89",2,2.4,2
"90",2,1.1,2
"91",2,2.64,1
